code,sigla,nombre,sector,funcion_legal,estrategico,ventas_2023_bs,ventas_2024_bs,ventas_2025_bs,gasto_2023_bs,gasto_2024_bs,gasto_2025_bs,ebitda_2025_bs,cash_neto_sigep_2025_bs,apoyo_estado_tgn_re_2025_bs,aportes_capital_acumulado_bs,cuentas_por_cobrar_2025_bs,dias_cobro,resultados_acumulados_bs,capital_pagado_bs,m9_pct_perdida_sobre_capital,m17_dependencia_estado_pct,m15_roic_pct,arquetipo,trayectoria,recomendacion,confianza,fuente_pdf,ficha_url
0513,YPFB,Yacimientos Petroliferos Fiscales Bolivianos,Hidrocarburos,constitucional,sí,34623233973.87,31583385653.69,28488952901.35,50563285475.29,46106427122.62,46926807211.03,-16400728297.129997,2902875239.11,15250250418.04,5135178106.05,49216258888.17,579,39284992758.58,5135178106.05,765,49.29,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0513_YPFB.html,0513_YPFB.html
0514,ENDE,Empresa Nacional de Electricidad,Energía,constitucional,sí,1187335640,1308470642,1283487955.38,1129134547,1137651851,1230163507.53,511400485.2500001,1063841868.33,151658339.3,4028428277.61,1502945509.25,430,13011931271.8,4028428277.61,241.3,10.58,0.58,6. Trampa de Cobranza,Trayectoria Estable,REESTRUCTURAR COBRANZA,alta,https://romer288.github.io/empresas-publicas-bolivia/0514_ENDE.html,0514_ENDE.html
0517,COMIBOL,Corporación Minera de Bolivia,Minería,constitucional,sí,1955217514.37,2748067645.94,2823346674.57,1821254096.65,4539490822.3,5065504037.07,-2071532345.9999995,1377431333.24,24500000.0,6317693458.53,7657387290.090001,1049,-7190766738.97,6317693458.53,-64.9,0.45,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0517_COMIBOL.html,0517_COMIBOL.html
0520,VINTO - NAL,Empresa Metalurgica Vinto - Nacionalizada,Minería,constitucional,sí,1797936244.06,2662509230.27,2632805569.74,1859855486.49,2658947700.63,2733143368.79,-100337799.05000019,12096706.91,61508109.0,233324420.21,880963761.37,124,-449553197.12,233324420.21,-177.6,2.34,,2. Colapso Multidimensional,Trayectoria Adversa,REESTRUCTURAR PROFUNDAMENTE — URGENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0520_VINTO_-_NAL.html,0520_VINTO_-_NAL.html
0522,ENFE,Empresa Nacional de Ferrocarriles (Residual),Transporte,comercial,sí,3293096.23,3440117.78,3917596.45,3535600.62,3194287.52,3270862.72,1282691.0899999999,943127.49,,619884521.68,563931296.73,52525,-742653309.61,619884521.68,-107.1,0,0.07,1. Operacionalmente Defuncto,—,LIQUIDAR,alta,https://romer288.github.io/empresas-publicas-bolivia/0522_ENFE.html,0522_ENFE.html
0525,TAB,Transportes Aéreos Bolivianos,Transporte,comercial,sí,91976400.28,70877211.97,74742835.2,92556252.19,91013585.05,97848276.68,-18227736.65999998,122846602.53,3500000.0,39700000,116562170.12,576,200392897.3,39700000,257.6,4.28,,2. Colapso Multidimensional,Trayectoria Adversa,REESTRUCTURAR PROFUNDAMENTE — URGENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0525_TAB.html,0525_TAB.html
0526,BTV,Bolivia TV,Medios,cultural,no,53624990.03,53841415.08,64727839.4,64422172.14,54094126.08,66770650.39,12322184.36,2019439.75,624000.0,221894274.16,42642044.29,219,-181859340.97,221894274.16,-80.1,1.25,3.86,"5. Capital Agotado, Operaciones Viables",Trayectoria Estable,RECAPITALIZAR + PRIVATIZAR,alta,https://romer288.github.io/empresas-publicas-bolivia/0526_BTV.html,0526_BTV.html
0548,COFADENA,COFADENA Oficina Central,Defensa,funcional,sí,22864325.24,33577181.87,39762261.53,63905182.49,71276227.75,59963947.55,-12288154.700000003,112632173.89,10037791.77,336704648.64,182587967.54000002,1558,157931232.87,336704648.64,40.2,34.27,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0548_COFADENA.html,0548_COFADENA.html
0551,ENABOL,Empresa Naviera Boliviana,Transporte,comercial,sí,46364.22,45500,60000,366130.71,201101.6,109297.53,243.0,2720644.34,,211323601,3216747.17,19569,-16378063.79,211323601,-6.7,0,,2. Colapso Multidimensional,Trayectoria Estable,REESTRUCTURAR PROFUNDAMENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0551_ENABOL.html,0551_ENABOL.html
0572,EMAPA,Empresa de Apoyo a la Producción de Alimentos,Agro,funcional,no,721362391.22,977461592.93,809626637.54,1257404525.01,1595080040.56,1986849374.38,-1070045350.2200003,223519512.9,996540601.0,3668273369.87,1529049312.6399999,641,-658096040.76,3668273369.87,-17.7,129.03,,2. Colapso Multidimensional,Trayectoria Estable,CERRAR (o PRIVATIZAR si activos recuperables),alta,https://romer288.github.io/empresas-publicas-bolivia/0572_EMAPA.html,0572_EMAPA.html
